epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,99.0186,1.45031,2.7883,1.73999,1.52181,0.64592,0.2069,0.28775,0.13828,0.38067,0.24138,0.2518,0.10282,1.81618,3.21673,2.47813,1.92983,0.00354578,0.00354578,0.00354578
36,101.527,1.40594,2.65909,1.68092,1.46235,0.27792,0.36207,0.28511,0.14186,0.27332,0.31034,0.22096,0.09527,1.8233,3.15929,2.39336,1.92203,0.00333095,0.00333095,0.00333095
37,103.994,1.38803,2.72751,1.64548,1.46793,0.32576,0.34483,0.27593,0.1326,0.29074,0.31034,0.23348,0.09645,1.80799,3.1104,2.3269,1.89931,0.00311612,0.00311612,0.00311612
38,106.434,1.39506,2.74473,1.66808,1.47484,0.36258,0.34483,0.29309,0.13422,0.32923,0.31315,0.24508,0.10114,1.79037,3.06523,2.29971,1.87216,0.00290129,0.00290129,0.00290129
39,108.899,1.42699,2.6928,1.69021,1.49404,0.35406,0.36207,0.30404,0.14353,0.37622,0.30166,0.25947,0.11176,1.76739,3.03664,2.24085,1.86619,0.00268646,0.00268646,0.00268646
40,112.389,1.40319,2.67962,1.62845,1.46409,0.34588,0.32759,0.3086,0.1553,0.33572,0.31034,0.27863,0.11831,1.74295,2.9882,2.22056,1.83189,0.00247163,0.00247163,0.00247163
41,116.338,1.44377,2.83597,1.79179,1.54342,0.39975,0.32759,0.32416,0.15891,0.41045,0.32416,0.31223,0.12963,1.71412,2.94772,2.18326,1.81338,0.0022568,0.0022568,0.0022568
42,118.679,1.39577,2.77628,1.78208,1.52721,0.42121,0.27586,0.32507,0.16402,0.43156,0.28806,0.31003,0.13819,1.67568,2.92567,2.16718,1.79457,0.00204197,0.00204197,0.00204197
43,120.957,1.37919,2.77978,1.73302,1.49717,0.44789,0.27586,0.3324,0.17181,0.44789,0.27586,0.314,0.14022,1.65614,2.90771,2.11905,1.77404,0.00182714,0.00182714,0.00182714
44,126.866,1.36988,2.68391,1.66423,1.51487,0.46257,0.2931,0.32678,0.16725,0.46257,0.2931,0.31373,0.14477,1.64988,2.91398,2.09718,1.77363,0.00161231,0.00161231,0.00161231
45,129.011,1.38899,2.76678,1.70452,1.49713,0.54859,0.2931,0.33254,0.16693,0.44494,0.31034,0.32611,0.14937,1.62346,2.92108,2.07726,1.74941,0.00139748,0.00139748,0.00139748
46,131.591,1.37026,2.7188,1.7064,1.48988,0.50959,0.30468,0.33796,0.16948,0.51926,0.31034,0.3333,0.15033,1.61904,2.90899,2.05821,1.74081,0.00118265,0.00118265,0.00118265
47,137.147,1.36247,2.72284,1.66788,1.44665,0.5003,0.29347,0.33707,0.17262,0.52909,0.31034,0.32847,0.15313,1.60963,2.91351,2.05477,1.72864,0.00096782,0.00096782,0.00096782
48,139.414,1.37768,2.74264,1.70092,1.50008,0.54379,0.28784,0.34113,0.1804,0.55397,0.2931,0.32831,0.15366,1.60484,2.909,2.02867,1.71359,0.00075299,0.00075299,0.00075299
49,141.734,1.34255,2.67692,1.67408,1.47726,0.55365,0.27586,0.34141,0.18149,0.50733,0.32759,0.33667,0.156,1.60112,2.90088,2.01122,1.70596,0.00053816,0.00053816,0.00053816
50,147.683,1.31831,2.65491,1.6288,1.43922,0.53423,0.2931,0.34476,0.18162,0.51015,0.27586,0.32863,0.15195,1.60102,2.88937,2.00567,1.70712,0.00032333,0.00032333,0.00032333
