epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,180.527,1.05337,0.59283,1.00887,0.93461,0.62215,0.66911,0.46936,1.44025,1.51861,1.56538,0.000224144,0.000224144,0.000224144
43,185.454,1.06974,0.59372,1.03615,0.92328,0.60752,0.66184,0.46627,1.46476,1.49097,1.59287,0.000218514,0.000218514,0.000218514
44,190.111,0.98903,0.54847,1.01636,0.71504,0.66507,0.66138,0.46607,1.52645,1.38513,1.66077,0.000212883,0.000212883,0.000212883
45,193.577,1.03178,0.55247,0.99429,0.72063,0.69197,0.6662,0.4729,1.54576,1.33965,1.70176,0.000207252,0.000207252,0.000207252
46,197.404,1.00966,0.55235,1.00246,0.88654,0.63782,0.70014,0.49937,1.53249,1.36748,1.70957,0.000201622,0.000201622,0.000201622
47,202.485,0.99173,0.54628,1.01898,0.90091,0.64203,0.68388,0.48966,1.55218,1.38863,1.76071,0.000195991,0.000195991,0.000195991
48,205.933,1.00253,0.51907,0.99263,0.75914,0.67438,0.6785,0.48413,1.58739,1.3493,1.79972,0.000190361,0.000190361,0.000190361
49,210.353,0.97654,0.53711,0.98962,0.76079,0.67438,0.68046,0.48592,1.5554,1.2513,1.786,0.00018473,0.00018473,0.00018473
50,215.251,1.01049,0.53368,0.97679,0.7779,0.68508,0.68812,0.48499,1.49945,1.28336,1.74682,0.000179099,0.000179099,0.000179099
51,219.379,1.01117,0.53638,0.98982,0.77853,0.69037,0.68889,0.48925,1.50632,1.30047,1.76562,0.000173469,0.000173469,0.000173469
52,223.023,0.98505,0.5265,0.98147,0.75423,0.70216,0.70835,0.49352,1.56843,1.30116,1.84361,0.000167838,0.000167838,0.000167838
53,226.561,0.9592,0.51896,0.99032,0.74848,0.70216,0.70931,0.4938,1.58595,1.32941,1.86184,0.000162207,0.000162207,0.000162207
54,231.568,0.97882,0.52891,1.00194,0.74426,0.70679,0.71722,0.50139,1.57376,1.35133,1.82307,0.000156577,0.000156577,0.000156577
55,235.391,1.00825,0.51843,0.96601,0.746,0.70679,0.71946,0.50357,1.60335,1.32425,1.86751,0.000150946,0.000150946,0.000150946
56,238.994,0.98329,0.51257,0.98283,0.73375,0.72632,0.72722,0.50155,1.66194,1.30449,1.93051,0.000145316,0.000145316,0.000145316
57,242.357,0.95956,0.49901,0.99777,0.73115,0.72912,0.72548,0.505,1.68085,1.28897,1.93473,0.000139685,0.000139685,0.000139685
58,248.833,1.00648,0.51814,1.00677,0.74255,0.70884,0.72193,0.50045,1.69405,1.20228,1.93723,0.000134054,0.000134054,0.000134054
59,252.189,0.96724,0.50797,0.98003,0.74824,0.6958,0.72019,0.5011,1.7091,1.23111,1.96818,0.000128424,0.000128424,0.000128424
60,256.669,0.92411,0.4846,0.95852,0.75697,0.69248,0.71885,0.50252,1.6412,1.10804,1.92355,0.000122793,0.000122793,0.000122793
61,262.122,0.94595,0.50123,0.98167,0.76847,0.6882,0.71864,0.50594,1.63179,1.11656,1.925,0.000117163,0.000117163,0.000117163
62,265.539,0.94869,0.48384,0.97588,0.78214,0.68752,0.72348,0.50275,1.60539,1.11587,1.88111,0.000111532,0.000111532,0.000111532
63,268.958,0.94321,0.48532,0.97581,0.78171,0.67747,0.70951,0.49664,1.61359,1.13316,1.89994,0.000105901,0.000105901,0.000105901
64,272.822,0.95913,0.49148,0.98818,0.76521,0.67052,0.7007,0.48989,1.63146,1.12551,1.93193,0.000100271,0.000100271,0.000100271
65,278.689,0.94553,0.48838,0.97778,0.75593,0.67052,0.69977,0.48868,1.63025,1.12998,1.93934,9.464e-05,9.464e-05,9.464e-05
